"","lat","long","name","library","state","city","firstgen","admissions"
"4105",25.7652,-80.193041,"Miami Media School",0,"FL","Miami",4341.637011,NA
"4106",35.38258,-119.050561,"UEI College-Bakersfield",0,"CA","Bakersfield",6607.773852,NA
"4107",31.052961,-97.773225,"Texas A & M University-Central Texas",0,"TX","Killeen",4451.983299,NA
"4108",32.95902,-95.294901,"Bella Cosmetology College",0,"TX","Winnsboro",5694.444444,NA
"4109",38.94987,-77.336921,"Dermal Science International Aesthetics and Nail Academy",0,"VA","Reston",NA,NA
"4110",26.64951,-80.143681,"Latin Beauty Academy",0,"FL","Greenacres",NA,NA
"4111",32.7192,-117.159901,"Associated Barber College of San Diego",0,"CA","San Diego",5694.444444,NA
"4112",33.97882,-118.394891,"ABCO Technology",0,"CA","Los Angeles",NA,NA
"4113",39.958782,-75.158406,"Studio Incamminati",0,"PA","Philadelphia",NA,NA
"4114",40.607697,-73.969717,"Bet Medrash Gadol Ateret Torah",0,"NY","Brooklyn",NA,7250
"4115",40.61359,-73.944041,"Yeshiva Gedola Ohr Yisrael",0,"NY","Brooklyn",NA,2500
"4116",27.63639,-80.400031,"School District of Indian River County-Technical Center for Career and Adult Education",0,"FL","Vero Beach",NA,NA
"4117",37.763813,-122.419524,"San Francisco College of Cosmetology",0,"CA","San Francisco",NA,NA
"4118",40.75928,-111.865761,"Ibero American College",0,"UT","West Valley City",NA,NA
"4119",34.11174,-118.189061,"ZMS The Academy",0,"CA","Los Angeles",7173.913043,NA
"4120",41.0285,-73.745181,"Center for Ultrasound Research & Education",0,"NY","White Plains",NA,NA
"4121",38.943131,-79.852568,"Randolph Technical Center",0,"WV","Elkins",NA,3800
"4122",38.73218,-77.100551,"Saint Michael College of Allied Health",0,"VA","Alexandria",5000,NA
"4123",37.80026,-122.475261,"Presidio Graduate School",0,"CA","San Francisco",NA,NA
"4124",42.793212,-88.602515,"Wright Graduate University for the Realization of Human Potential",0,"WI","Elkhorn",NA,NA
"4125",32.75722,-117.081321,"California Barber and Beauty College",0,"CA","San Diego",6415.09434,NA
"4126",25.79639,-80.346881,"Florida International Training Institute",0,"FL","Doral",7446.808511,8000
"4127",34.697367,-118.145202,"Saint Joseph's School of Nursing",0,"CA","Lancaster",4736.842105,NA
"4128",36.35511,-94.157331,"Academy of Professional Cosmetology",0,"AR","Rogers",NA,NA
"4129",40.23238,-85.390811,"Ross Medical Education Center-Muncie",0,"IN","Muncie",5462.962963,NA
"4130",33.49417,-112.051121,"Pima Medical Institute-Phoenix",0,"AZ","Phoenix",5467.836257,NA
"4131",34.496283,-114.337955,"All Beauty College",0,"AZ","Lake Havasu City",5740.740741,NA
"4132",36.18502,-115.313951,"Chamberlain College of Nursing-Nevada",0,"NV","Las Vegas",4735.177334,10000
"4133",42.556522,-83.150897,"Chamberlain College of Nursing-Michigan",0,"MI","Troy",4735.177334,10000
"4134",40.465719,-74.443957,"Chamberlain College of Nursing-New Jersey",0,"NJ","North Brunswick",4735.177334,7500
"4135",30.009722,-90.219939,"Unitech Training Academy-Metairie",0,"LA","Metairie",6505.102041,NA
"4136",33.52441,-101.869881,"Wade Gordon Hairdressing Academy-Lubbock",0,"TX","Lubbock",5423.728814,NA
"4137",33.619289,-83.867657,"Emory University-Oxford College",0,"GA","Oxford",1770.200841,3863
"4138",42.35069,-71.076281,"American Academy of Personal Training-Boston Campus",0,"MA","Boston",4728.26087,NA
"4139",29.963649,-90.107006,"The Chicago School of Professional Psychology at Xavier University of Louisiana",0,"LA","New Orleans",NA,NA
"4140",33.56118,-101.924511,"Texas College of Cosmetology-Lubbock",0,"TX","Lubbock",5409.836066,NA
"4141",31.566237,-110.249213,"University of Arizona-South",0,"AZ","Sierra Vista",3154.247746,NA
"4142",41.58265,-81.486554,"American National University-Willoughby Hills",0,"OH","Willoughby Hills",5879.452055,NA
"4143",36.1456,-115.171331,"Arizona College-Las Vegas",0,"NV","Las Vegas",5650.730412,NA
"4144",26.009329,-80.245648,"Florida Career College",0,"FL","Pembroke Pines",5968.283582,NA
"4145",26.167472,-80.203295,"Florida Career College-Lauderdale Lakes",0,"FL","Lauderdale Lakes",5968.283582,NA
"4146",30.19596,-81.750891,"Florida Career College-Jacksonville",0,"FL","Jacksonville",5968.283582,NA
"4147",26.267883,-80.201813,"Florida Career College-Margate",0,"FL","Margate",5968.283582,NA
"4148",28.56052,-81.309471,"Florida Career College-Orlando",0,"FL","Orlando",5968.283582,NA
"4149",44.825657,-68.791753,"Husson University",0,"ME","Bangor",3158.593232,8049
"4150",42.026926,-88.338747,"Tricoci University of Beauty Culture-Elgin",0,"IL","Elgin",5829.145729,NA
"4151",34.97616,-89.989101,"Concorde Career College-Southaven",0,"MS","Southaven",5301.041195,NA
"4152",33.825029,-118.143844,"Universal Technical Institute-Southern California",0,"CA","Long Beach",5484.314461,NA
"4153",47.658397,-122.19617,"Northwest University-College of Adult and Professional Studies",0,"WA","Kirkland",3755.868545,NA
"4154",34.07144,-118.061091,"California Institute of Advanced Management",0,"CA","El Monte",NA,NA
"4155",30.22001,-92.043361,"Academy of Interactive Entertainment",0,"LA","Lafayette",NA,7246
"4156",34.11673,-118.248521,"Shepherd University",0,"CA","Los Angeles",NA,NA
"4157",38.980365,-76.542916,"The Temple Annapolis-A Paul Mitchell Partner School",0,"MD","Annapolis",4803.625378,NA
"4158",0,0,"University of Arkansas Community College at Hope - Texarkana",NA,"AR","Texarkana",5617.088608,NA
"4159",0,0,"Marymount California University - Lakeside Campus",NA,"CA","Lucerne",4154.727794,NA
"4160",0,0,"Denver Seminary - Washington DC",NA,"MD","Landover",NA,NA
"4161",0,0,"Delaware Technical Community College-Owens",NA,"DE","Georgetown",5182.53815,NA
"4162",0,0,"Keiser University -  Clearwater",NA,"FL","Clearwater",4781.345143,NA
"4163",0,0,"Keiser University - Residential",NA,"FL","West Palm Beach",4781.345143,NA
"4164",0,0,"East Georgia State College - Statesboro",NA,"GA","Statesboro",3567.134269,NA
"4165",0,0,"Baker College of Owosso",NA,"MI","Owosso",4861.662987,NA
"4166",0,0,"Baker College of Clinton Township",NA,"MI","Clinton Township",4861.662987,NA
"4167",0,0,"Baker College of Port Huron",NA,"MI","Port Huron",4861.662987,NA
"4168",0,0,"Baker College Center for Graduate Studies",NA,"MI","Flint",4861.662987,NA
"4169",0,0,"University of Mississippi Medical Center",NA,"MS","Jackson",2344.067797,NA
"4170",0,0,"Monmouth University -  Monmouth Park Corporate Center",NA,"NJ","West Long Branch",3105.986261,NA
"4171",0,0,"Hebrew Union College-Jewish Institute of Religion-Los Angeles",NA,"CA","Los Angeles",NA,NA
"4172",0,0,"Purdue University - Purdue Polytechnic Indianapolis",NA,"IN","Indianapolis",2022.906228,NA
"4173",0,0,"Purdue University - Purdue Polytechnic New Albany",NA,"IN","New Albany",2022.906228,NA
"4174",0,0,"Purdue University - Purdue Polytechnic Lafayette",NA,"IN","Lafayette",2022.906228,NA
"4175",0,0,"Purdue University - Purdue Polytechnic Vincennes",NA,"IN","Vincennes",2022.906228,NA
"4176",0,0,"American Institute of Pharmaceutical Technology - Polifly",NA,"NJ","Newark",7204.301075,NA
"4177",39.31458,-84.468531,"Elite Welding Academy LLC",0,"OH","Cincinnati",5163.934426,NA
"4178",35.3594,-94.370341,"Designer Barber & Stylist School",0,"AR","Ft Smith",NA,NA
"4179",29.525061,-98.639733,"Alamo City Barber College",0,"TX","San Antonio",5319.148936,NA
"4180",35.405888,-97.530127,"JB's Hair Design and Barber College",0,"OK","Oklahoma City",4901.960784,NA
"4181",33.548787,-101.918239,"Virginia College-Lubbock",0,"TX","Lubbock",5491.217377,NA
"4182",40.68032,-73.404971,"Electrical Training Center",0,"NY","Copiague",5454.545455,NA
"4183",35.605276,-77.372255,"Alexander Paul Institute of Hair Design",0,"NC","Greenville",NA,NA
"4184",32.43141,-99.783281,"NeeCee's College of Cosmetology",0,"TX","Abilene",5000,NA
"4185",39.132516,-121.633405,"Sutter Beauty College",0,"CA","Yuba City",5647.058824,NA
"4186",39.848916,-86.367788,"Midwest Technical Institute",0,"IN","Brownsburg",5237.877402,NA
"4187",33.91497,-84.207371,"New Horizons Medical Institute",0,"GA","Norcross",5551.020408,NA
"4188",34.181488,-97.143303,"Paul Mitchell the School-Ardmore",0,"OK","Ardmore",5476.190476,NA
"4189",26.170084,-80.146529,"Cosmix School of Makeup Artistry",0,"FL","Oakland Park",3928.571429,NA
"4190",40.70938,-73.615231,"Access Careers",0,"NY","Hempstead",5833.333333,NA
"4191",35.044724,-94.634093,"River Valley Cosmetology Institute",0,"OK","Poteau",NA,NA
"4192",37.084615,-76.458895,"Luckes Beauty Academy",0,"VA","Newport  News",4000,NA
"4193",43.056,-89.491041,"East-West Healing Arts Institute",0,"WI","Madison",NA,NA
